segment_index,t_start_ps,t_stop_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,36880089746026672,36880095663551720,time_split,1358,0.038835000944963116,-2.7181831537067533,22.695508594338126,0.1838230697736205,1.176617197235754,100,0.4149687545716408,-0.06177066603774738,99.01688931620137
1,36880095663551720,36880101581076768,time_split,1285,0.0684392200584047,-3.028297246021098,20.721260965766753,0.22781095984762972,1.7099670757258305,100,0.39236051870970906,-0.05204577299826103,99.17166579602882
2,36880101581076768,36880107498601824,time_split,1365,0.024444825110193018,0.8831434382599801,5.622265746329917,0.15045093610192564,0.7922419460880998,100,0.41066281467273175,0.01058833567528945,0.16851859618385778
3,36880107498601824,36880113416126872,time_split,1346,0.024653260865577443,3.129670861014932,19.924103511247786,0.13724132640376863,0.6500552444088848,100,0.4258415120083534,0.07110432016012741,1.1316604028672985
4,36880113416126872,36880119333651920,time_split,1341,0.026108790386469204,-2.660537917029829,23.06248956885151,0.15684615362166957,0.8458861546109869,100,0.38150391557021535,-0.02967181460242181,99.52775840355184
5,36880119333651920,36880125251176968,time_split,1334,0.014865797768629523,-0.8139703822525151,34.818103605364506,0.21134113125459414,1.5277745742513358,100,0.3790877794684404,-0.019568173986484146,99.68856283827688
6,36880125251176968,36880131168702016,time_split,1360,0.014955176018086146,0.09754989553709445,0.6210219229130641,0.1496824782352879,0.7812971342383107,100,0.4000042303367416,0.02684853507176818,0.42730770714480215
7,36880131168702016,36880137086227072,time_split,1336,0.034186634311874034,-2.6224257185796365,23.305119359869412,0.13200842925178805,0.5969599263012437,100,0.4097897768644218,-0.02103217258263526,99.66526257695118
8,36880137086227072,36880143003752120,time_split,1298,0.015992581555180393,-0.4390210169608158,37.205105401178216,0.19598874895277482,1.2784164987554818,100,0.38575566035342806,-0.05116063511319435,99.18575320300144
9,36880143003752120,36880148921277168,time_split,1316,0.007998403530013968,1.0485313398707359,6.675157829087829,0.15057101612766974,0.7650222118307224,100,0.383924273367762,0.01582995466469972,0.2519415533807567
10,36880148921277168,36880154838802216,time_split,1298,0.0130663971542507,0.45572474150004266,2.90123381196032,0.1601205502165064,0.8533048872031921,100,0.4055451514983088,-0.06002630535635113,99.04465167869932
11,36880154838802216,36880160756327264,time_split,1213,0.031872976352423706,-0.24728235779516788,38.425751616699216,0.17045601774227429,0.9036928995708882,100,0.39874640110243575,-0.01636006738966068,99.73962144056189
12,36880160756327264,36880166673852320,time_split,1303,0.027770351968313567,0.7138799869105094,4.544701147647404,0.13931243521316858,0.648424739752445,100,0.4135276535739697,0.0317155792244213,0.5047691206589271
13,36880166673852320,36880172591377368,time_split,1344,0.02669449828210554,2.5430329003507954,16.189450261445934,0.15618621146907055,0.8406593406593407,100,0.4022404525864543,0.022673079203517372,0.36085326303538434
14,36880172591377368,36880178508902416,time_split,1337,0.023450358755059183,2.325307884592634,14.803369761739047,0.15355803071589688,0.8083731277448555,100,0.4031935459202032,-0.02278129037828816,99.63742450262838
15,36880178508902416,36880184426427464,time_split,1323,0.01968578302596225,-2.1820674320754883,26.1085272810139,0.15672162620608243,0.8332073570168808,100,0.37590980093385684,-0.0013791594030932812,99.9780499963686
16,36880184426427464,36880190343952512,time_split,1346,0.013844400934138074,1.7767391093395715,11.311072473443373,0.17449493083678091,1.0508629557663733,100,0.4232947089024219,0.03293506205000317,0.5241777926296296
17,36880190343952512,36880196261477568,time_split,1296,0.03425012049088001,-2.045763165162765,26.976267194760982,0.16746493785494493,0.9319404874960432,100,0.3837918161875114,-0.06365222614515534,98.98694335701953
18,36880196261477568,36880202179002616,time_split,1364,0.009353005716180971,-0.4785838401426153,36.95324064629605,0.17494825499442407,1.070456425295135,100,0.4086957724714139,-0.05621491802560531,99.10531179207192
19,36880202179002616,36880208096527664,time_split,1331,0.02976208924736558,-1.1056193046953682,32.961408899196314,0.1495078698804833,0.7628542256641431,100,0.38672137662479267,-0.014949645537928102,99.76206900151669
