pairing_layer,folding_layer,bin_width_ps,dim,frame_origin_ps,n_pairs,A40,total_sum,diag_main_sum,diag_main_fraction,diag_uniformity_cv,diag_fft_k_dim2,diag_fft_k_dim4,diag_fft_max_nonzero
nearest,folded_without_strict,20,4,0.0,26494,0.006046220659786703,26494.0,9604.0,0.3624971691703782,0.3635739300395814,0.35276967930029157,0.0622075396185859,0.35276967930029157
nearest,folded_strict_single_hit_per_frame,20,4,0.0,19999,0.006046220659786703,19999.0,9197.0,0.4598729936496825,0.36311506834895046,0.3519625964988583,0.06314619358221371,0.3519625964988583
nearest,folded_without_strict,20,8,0.0,26494,0.006046220659786703,26494.0,9303.0,0.3511361062882162,0.3627417014606091,0.35182199290551436,0.062187841644595926,0.35182199290551436
nearest,folded_strict_single_hit_per_frame,20,8,0.0,22870,0.006046220659786703,22870.0,9197.0,0.40214254481853956,0.3632616167948959,0.3519625964988583,0.06314619358221371,0.3519625964988583
nearest,folded_without_strict,20,16,0.0,26494,0.006046220659786703,26494.0,9255.0,0.34932437533026345,0.3635755298446602,0.3521339816315505,0.06253800686422824,0.3521339816315505
nearest,folded_strict_single_hit_per_frame,20,16,0.0,24371,0.006046220659786703,24371.0,9197.0,0.3773747486767059,0.36372541651631857,0.3519625964988583,0.06314619358221371,0.3519625964988583
nearest,folded_without_strict,25,4,0.0,26494,0.006046220659786703,26494.0,11120.0,0.419717671925719,0.14367678295303293,0.07464028776978417,0.08680969243516747,0.08680969243516747
nearest,folded_strict_single_hit_per_frame,25,4,0.0,21222,0.006046220659786703,21222.0,10847.0,0.5111205352935633,0.1453760578197565,0.07366092007006546,0.08862354947090703,0.08862354947090702
nearest,folded_without_strict,25,8,0.0,26494,0.006046220659786703,26494.0,10937.0,0.4128104476485242,0.20816824000317388,0.07433482673493645,0.08844742356168457,0.08844742356168457
nearest,folded_strict_single_hit_per_frame,25,8,0.0,23498,0.006046220659786703,23498.0,10847.0,0.46161375436207336,0.2072749279937153,0.07366092007006546,0.08862354947090703,0.08862354947090702
nearest,folded_without_strict,25,16,0.0,26494,0.006046220659786703,26494.0,10881.0,0.41069676153091267,0.21515677652679194,0.07434978402720338,0.08854029733209962,0.08854029733209962
nearest,folded_strict_single_hit_per_frame,25,16,0.0,24652,0.006046220659786703,24652.0,10847.0,0.44000486775920816,0.21481818280002465,0.07366092007006546,0.08862354947090703,0.08862354947090702
