layer,period_ps,n_pairs,amplitude,phase_rad,phase_ps,chi2_reduced,cv
all_pairs,10,26494,0.008222172190889618,-0.6520120348903108,8.962290616918017,1.785242780336009,0.02462612794090498
all_pairs,11,26494,0.0012695598640232563,-0.7149115890021809,9.748401154102835,0.9063033139578772,0.018495369753854678
all_pairs,12,26494,0.004210056624451959,-0.42747040900202715,11.183591656581756,0.6850676310931463,0.016865114753396304
all_pairs,13,26494,0.00397275697831802,-1.2745361840336407,10.362966460100338,1.625776905462872,0.027136093815947872
all_pairs,14,26494,0.003856823203408438,-0.33040983981788113,13.26379097045496,1.058201857024232,0.022786738574653322
all_pairs,15,26494,0.004103972157160446,-0.808400608386865,13.070085707651025,0.8460513970818191,0.021144071821657753
all_pairs,16,26494,0.005197596732386464,-1.7494768610318112,11.544993755870312,1.5095241689942378,0.029234246124754684
all_pairs,17,26494,0.0019645330204701313,-1.8789091363322055,11.916359496647496,0.6139125839812787,0.019254821334544123
all_pairs,18,26494,0.00321059205750936,-1.315330078159379,14.231856892742744,0.8163890603421862,0.022887548782057118
all_pairs,19,26494,0.000924165744335931,-2.74513471471358,10.698866573303302,0.8456170369811193,0.023968968723677115
all_pairs,20,26494,0.00081247744221703,1.771437984484764,5.638662232229889,1.4494721744347279,0.032240960816940306
all_pairs,21,26494,0.003219337228958799,2.856052028708903,9.545650760029812,0.593323016532045,0.02116346770889455
all_pairs,22,26494,0.0036505427801017255,2.6950917046490543,9.436617671378908,0.9176992454715714,0.026970318096676948
all_pairs,23,26494,0.0030599102881925504,-3.067835933520482,11.769991171461351,1.0905899792062697,0.03009319684010229
all_pairs,24,26494,0.0022479498427576262,-2.5248416392371693,14.355815342187855,1.020076735996009,0.029758194196480438
all_pairs,25,26494,0.0016841185893922148,2.703441157696761,10.756650590137893,0.6705354671497948,0.02464578933855222
all_pairs,26,26494,0.0010654034477438614,2.865013567096381,11.85550785194705,1.1152894995093228,0.03244068716953442
all_pairs,27,26494,0.0015417266179879837,1.6417832198090272,7.05504370278423,0.6764927908205632,0.025765851201654352
all_pairs,28,26494,0.0006471585945120767,2.0496224010966535,9.13381102497953,0.9851622589601001,0.03168560464596072
all_pairs,29,26494,0.000524805357188835,-2.8394399914843906,15.89458360253105,0.9692976307304081,0.03200617866841194
all_pairs,30,26494,0.0012497905447023333,2.1867430636799257,10.440929035697263,1.0518764170417243,0.03393185419341494
all_pairs,31,26494,0.0017212795842012514,3.1337565870274187,15.46133838943823,0.7466294255303089,0.02907631815962663
all_pairs,32,26494,0.0033189337471198213,-2.956800073781185,16.941140880743795,1.1216319215306205,0.03622699084292921
all_pairs,33,26494,0.004700345963717692,-3.077795037209943,16.835072298143007,1.1216407488487958,0.036806804338243966
all_pairs,34,26494,0.00421009940513491,-2.776674187462458,18.974671642129046,0.8363334408476705,0.03227549674821395
all_pairs,35,26494,0.004549945226128413,-2.5507285274951146,20.791363122727436,0.6400494673599793,0.02865975429415573
all_pairs,36,26494,0.005809212570863582,-2.971559602875789,18.974217618364634,0.9871043578600007,0.036111189209877624
all_pairs,37,26494,0.00462102659231309,-2.88587826510802,20.00583373102403,0.7379134059703244,0.031665050472304494
all_pairs,38,26494,0.005280385251274172,-2.780328798554568,21.18488327499302,0.9427652155817025,0.03628514569368212
all_pairs,39,26494,0.006916980963074467,-2.4697199200013467,23.67034280049135,1.5272196684055577,0.04680247140200361
all_pairs,40,26494,0.006046220659786705,-2.650676842209285,23.12526712092706,1.140891116130793,0.04098081930284308
all_pairs,41,26494,0.005601699031030277,-2.373784346964369,25.51021998120461,0.6919132633803879,0.03232079670382987
all_pairs,42,26494,0.0041633888261813695,-2.3994949864987545,25.96055750292911,0.9272822010321711,0.03788123454878151
all_pairs,43,26494,0.004124297287422215,-1.8306243287872301,30.47182483255686,0.7934644681455281,0.03546619691132554
all_pairs,44,26494,0.004035873697150025,-1.1647098738047545,35.84374931790557,0.7681633928524404,0.0353091501899831
all_pairs,45,26494,0.004893155454792512,-0.8903693950150093,38.62319893225295,0.8115851273358633,0.036712977839691824
all_pairs,46,26494,0.007245373878100451,-0.6549184088858098,41.20525890358144,1.198235239844661,0.04511318971767538
