segment_index,t_start_ps,t_stop_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,608003422917962,608153422905443,time_split,49661,0.09273982771165824,-0.1720976974670688,38.9043920301353,0.13394080486605853,22.844237261969486,100,0.5889282410531619,-0.03070812759518188,99.511264970013
1,608153422905443,608303422892924,time_split,50103,0.09583950295212468,-0.1909957529556454,38.78408327230203,0.13823102081587432,24.547663096073368,100,0.5996490258451376,-0.04435813104464825,99.29401841779261
2,608303422892924,608453422880405,time_split,48406,0.09033903338227998,-0.21712746832117574,38.617723605426235,0.13047934589108365,21.130906636918287,100,0.5832936614374623,-0.0410628612385206,99.34646426563928
3,608453422880405,608603422867887,time_split,48907,0.08293222910537079,-0.22362094398529303,38.57638485543459,0.12000534441403696,18.059577754324927,100,0.5748539893838867,-0.03771322511437265,99.39977538031103
4,608603422867887,608753422855368,time_split,50071,0.07866292129969676,-0.200016264664154,38.726656911196926,0.1146258700751352,16.868907177449046,100,0.5685099504877204,-0.04017347775602098,99.36061924339369
5,608753422855368,608903422842849,time_split,50081,0.0870271639641608,-0.1413595572408162,39.10007710847369,0.12595388588637957,20.371899573972215,100,0.5838000470909096,-0.024458462607221156,99.61073147756326
6,608903422842849,609053422830331,time_split,49345,0.07647454819129966,-0.15073235197293058,39.04040804398563,0.11267047043613898,16.061968193592474,100,0.5685787647499319,-0.02723069767866153,99.56660998605999
7,609053422830331,609203422817812,time_split,47954,0.10070366283817192,-0.16599329304432622,38.94325387567576,0.1464945261154006,26.38779043591989,100,0.6085950085053045,-0.027930154382495,99.55547778687061
8,609203422817812,609353422805293,time_split,47968,0.09447829133885294,-0.21231236783146767,38.64837748720309,0.1381539849171881,23.47544516857392,100,0.5918056242179531,-0.04052919983487065,99.35495775067211
9,609353422805293,609503422792775,time_split,48934,0.09830033980795462,-0.20922792766360235,38.66801364317857,0.14132499191276718,25.06017209993995,100,0.6029812701369867,-0.04966719144224983,99.20952209724744
10,609503422792775,609653422780256,time_split,49812,0.09690102495407338,-0.2077385855151292,38.67749508977395,0.13954540284060818,24.87141189333432,100,0.5998702626312779,-0.03516817462846422,99.44028111683609
11,609653422780256,609803422767737,time_split,49599,0.08947300138757099,-0.1348080949482118,39.141785012807624,0.12867364706327838,21.056565449779026,100,0.5868039728466468,0.003502835614303164,0.05574936028546844
12,609803422767737,609953422755218,time_split,48393,0.10538960232729451,-0.08213065291010782,39.47714002439966,0.15088447911548514,28.249259932168616,100,0.6132286104348649,-0.0023810211808235273,99.96210487094653
13,609953422755218,610103422742700,time_split,48328,0.0947535806703197,-0.13097335449503486,39.16619772875153,0.13690999898782547,23.2276113226287,100,0.5968381369979867,-0.0020677660007275395,99.96709048198268
14,610103422742700,610253422730181,time_split,47130,0.09996900359649925,-0.09587489034324485,39.38964149133916,0.14347445155785535,24.8760819772914,100,0.6108194875790812,-0.0023177168436990794,99.96311239076381
15,610253422730181,610403422717662,time_split,48723,0.09884037934801682,-0.09343871322909351,39.405150676537744,0.14183213329625494,25.131515837568422,100,0.5931105770853298,0.004854421436563212,0.07726051674802949
16,610403422717662,610553422705144,time_split,48942,0.09123384521377945,-0.04690389457270192,39.70140053313974,0.13191627391260036,21.83805006239725,100,0.6011466059705611,0.024878039116321225,0.3959462899796051
17,610553422705144,610703422692625,time_split,49681,0.08516359967731463,-0.02064037908697681,39.86859926564068,0.12362736681923878,19.46950725113403,100,0.5907070364694845,0.03347209841953342,0.5327249919127162
18,610703422692625,610853422680106,time_split,50595,0.08870901596795501,-0.04411617079014136,39.71914773393851,0.12905202156250112,21.60591271560735,100,0.596734514225432,0.024032058920762076,0.38248209699149643
19,610853422680106,611003422667588,time_split,49951,0.09213164315828645,-0.09801995062586,39.37598561345084,0.1329708459054791,22.646049025480863,100,0.5925204156378863,0.01677590114098704,0.2669967591409055
