pairing_layer,folding_layer,bin_width_ps,dim,frame_origin_ps,n_pairs,A40,total_sum,diag_main_sum,diag_main_fraction,diag_uniformity_cv,diag_fft_k_dim2,diag_fft_k_dim4,diag_fft_max_nonzero
nearest,raw_paired_dt,0,0,0.0,982584,0.09176255908769497,982584.0,nan,nan,nan,nan,nan,nan
nearest,folded_without_strict,20,4,0.0,982584,0.09176255908769497,982584.0,452368.0,0.46038608403963427,0.00043709343861504126,9.726594277225622e-05,0.0003013220954866611,0.0003013220954866611
nearest,folded_strict_single_hit_per_frame,20,4,0.0,814852,0.09176255908769497,814852.0,446966.0,0.548524149170647,0.0003716623596354995,0.00021925605079580997,0.00021220237246465058,0.00021925605079580997
nearest,folded_without_strict,20,8,0.0,982584,0.09176255908769497,982584.0,447361.0,0.45529033650049255,0.0031044614136614577,0.00022576845098253983,0.00020970456759298445,0.0016269822090927196
nearest,folded_strict_single_hit_per_frame,20,8,0.0,897641,0.09176255908769497,897641.0,446966.0,0.4979340293057024,0.0031029660631074077,0.00021925605079580997,0.00021220237246465058,0.0015860874794874661
nearest,folded_without_strict,20,16,0.0,982584,0.09176255908769497,982584.0,446966.0,0.4548883352466558,0.005486830214012726,0.00021925605079580997,0.00021220237246465058,0.0019742785146826067
nearest,folded_strict_single_hit_per_frame,20,16,0.0,939954,0.09176255908769497,939954.0,446966.0,0.4755190147602968,0.005486830214012726,0.00021925605079580997,0.00021220237246465058,0.0019742785146826067
nearest,folded_without_strict,25,4,0.0,982584,0.09176255908769497,982584.0,523081.0,0.5323524502739715,0.0011259200125206782,0.0003230857171260283,0.0007626635870368153,0.0007626635870368152
nearest,folded_strict_single_hit_per_frame,25,4,0.0,848333,0.09176255908769497,848333.0,520711.0,0.6138049563084308,0.0011411083706466985,0.00032071532961662036,0.0007743610239768224,0.0007743610239768224
nearest,folded_without_strict,25,8,0.0,982584,0.09176255908769497,982584.0,520950.0,0.5301836789526392,0.0029395756481825353,0.0003148094826758806,0.0007625357494570486,0.0017905795663334728
nearest,folded_strict_single_hit_per_frame,25,8,0.0,915138,0.09176255908769497,915138.0,520711.0,0.5689972441314862,0.002905829058431623,0.00032071532961662036,0.0007743610239768224,0.0017543960406429643
nearest,folded_without_strict,25,16,0.0,982584,0.09176255908769497,982584.0,520711.0,0.5299404427509505,0.004520113195290054,0.00032071532961662036,0.0007743610239768224,0.0017543960406429646
nearest,folded_strict_single_hit_per_frame,25,16,0.0,948623,0.09176255908769497,948623.0,520711.0,0.548912476294587,0.004520113195290054,0.00032071532961662036,0.0007743610239768224,0.0017543960406429646
nearest,folded_without_strict,30,4,0.0,982584,0.09176255908769497,982584.0,579531.0,0.589803009208373,0.0015397897104991204,0.0003916960438699569,0.0010529782907960615,0.0010529782907960615
nearest,folded_strict_single_hit_per_frame,30,4,0.0,869443,0.09176255908769497,869443.0,578257.0,0.6650890282629224,0.0016353209126306772,0.0003026336040895311,0.0011363730437147417,0.0011363730437147417
nearest,folded_without_strict,30,8,0.0,982584,0.09176255908769497,982584.0,578257.0,0.5885064279491626,0.0038537493507188538,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
nearest,folded_strict_single_hit_per_frame,30,8,0.0,925948,0.09176255908769497,925948.0,578257.0,0.6245026718563029,0.0038537493507188538,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
nearest,folded_without_strict,30,16,0.0,982584,0.09176255908769497,982584.0,578257.0,0.5885064279491626,0.005736926872613133,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
nearest,folded_strict_single_hit_per_frame,30,16,0.0,954168,0.09176255908769497,954168.0,578257.0,0.6060326902599962,0.005736926872613133,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
nearest,folded_without_strict,35,4,0.0,982584,0.09176255908769497,982584.0,627011.0,0.6381245776442523,0.0004336957035655096,0.00029824038174768865,0.00022264842014505214,0.00029824038174768865
nearest,folded_strict_single_hit_per_frame,35,4,0.0,885752,0.09176255908769497,885752.0,626021.0,0.7067678085965372,0.00047815904266511165,0.0003210754910777753,0.0002505460028733062,0.0003210754910777753
nearest,folded_without_strict,35,8,0.0,982584,0.09176255908769497,982584.0,626021.0,0.6371170301979271,0.003471666885381632,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
nearest,folded_strict_single_hit_per_frame,35,8,0.0,933936,0.09176255908769497,933936.0,626021.0,0.6703039608709804,0.003471666885381632,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
nearest,folded_without_strict,35,16,0.0,982584,0.09176255908769497,982584.0,626021.0,0.6371170301979271,0.004191608380861241,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
nearest,folded_strict_single_hit_per_frame,35,16,0.0,958131,0.09176255908769497,958131.0,626021.0,0.653377252171154,0.004191608380861241,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
nearest,folded_without_strict,40,4,0.0,982584,0.09176255908769497,982584.0,665596.0,0.6773934849336036,0.0023828400819923354,0.00036658874151887933,0.0016648632903245907,0.0016648632903245907
nearest,folded_strict_single_hit_per_frame,40,4,0.0,897641,0.09176255908769497,897641.0,664717.0,0.7405154176335529,0.002340711892686935,0.0003505251106862018,0.001636469417884807,0.001636469417884807
nearest,folded_without_strict,40,8,0.0,982584,0.09176255908769497,982584.0,664717.0,0.6764989049282301,0.003770115186031886,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
nearest,folded_strict_single_hit_per_frame,40,8,0.0,939954,0.09176255908769497,939954.0,664717.0,0.7071803513788972,0.003770115186031886,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
nearest,folded_without_strict,40,16,0.0,982584,0.09176255908769497,982584.0,664717.0,0.6764989049282301,0.005031548800989934,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
nearest,folded_strict_single_hit_per_frame,40,16,0.0,961219,0.09176255908769497,961219.0,664717.0,0.691535435733168,0.005031548800989934,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
nearest,folded_without_strict,50,4,0.0,982584,0.09176255908769497,982584.0,722504.0,0.7353101617775173,0.0009850494736444618,0.0007335599526092589,0.00046487216600649085,0.0007335599526092589
nearest,folded_strict_single_hit_per_frame,50,4,0.0,915138,0.09176255908769497,915138.0,722006.0,0.7889586051502615,0.0009678932414243345,0.0006980551408160043,0.000474097219552727,0.0006980551408160043
nearest,folded_without_strict,50,8,0.0,982584,0.09176255908769497,982584.0,722006.0,0.7348033348802748,0.0023280818310000098,0.0006980551408160043,0.000474097219552727,0.0012936882589954207
nearest,folded_strict_single_hit_per_frame,50,8,0.0,948623,0.09176255908769497,948623.0,722006.0,0.7611095240153359,0.0023280818310000098,0.0006980551408160043,0.000474097219552727,0.0012936882589954207
nearest,folded_without_strict,50,16,0.0,982584,0.09176255908769497,982584.0,722006.0,0.7348033348802748,0.004314461728144452,0.0006980551408160043,0.000474097219552727,0.00196279396219609
nearest,folded_strict_single_hit_per_frame,50,16,0.0,965541,0.09176255908769497,965541.0,722006.0,0.7477735280014003,0.004314461728144452,0.0006980551408160043,0.000474097219552727,0.00196279396219609
nearest,folded_without_strict,60,4,0.0,982584,0.09176255908769497,982584.0,761405.0,0.774900670069938,0.0009416966689099526,0.0005161510628377802,0.00055694734785594,0.00055694734785594
nearest,folded_strict_single_hit_per_frame,60,4,0.0,925948,0.09176255908769497,925948.0,761357.0,0.8222459576563694,0.0009395112044916466,0.0005214373808870215,0.000552623000416662,0.000552623000416662
nearest,folded_without_strict,60,8,0.0,982584,0.09176255908769497,982584.0,761357.0,0.7748518192846616,0.003659009438174093,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
nearest,folded_strict_single_hit_per_frame,60,8,0.0,954168,0.09176255908769497,954168.0,761357.0,0.7979276186164281,0.003659009438174093,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
nearest,folded_without_strict,60,16,0.0,982584,0.09176255908769497,982584.0,761357.0,0.7748518192846616,0.0049848751054291695,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
nearest,folded_strict_single_hit_per_frame,60,16,0.0,968264,0.09176255908769497,968264.0,761357.0,0.786311377888675,0.0049848751054291695,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
nearest,folded_without_strict,80,4,0.0,982584,0.09176255908769497,982584.0,814852.0,0.8292950017504864,0.003139367175769111,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
nearest,folded_strict_single_hit_per_frame,80,4,0.0,939954,0.09176255908769497,939954.0,814852.0,0.8669062528591824,0.003139367175769111,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
nearest,folded_without_strict,80,8,0.0,982584,0.09176255908769497,982584.0,814852.0,0.8292950017504864,0.0035461900372426754,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
nearest,folded_strict_single_hit_per_frame,80,8,0.0,961219,0.09176255908769497,961219.0,814852.0,0.8477277290607032,0.0035461900372426754,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
nearest,folded_without_strict,80,16,0.0,982584,0.09176255908769497,982584.0,814852.0,0.8292950017504864,0.004435076337677342,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
nearest,folded_strict_single_hit_per_frame,80,16,0.0,971878,0.09176255908769497,971878.0,814852.0,0.83843033796423,0.004435076337677342,0.0027195122549861814,0.0011090264557882517,0.0027195122549861814
greedy_unique,raw_paired_dt,0,0,0.0,982584,0.09176255908769497,982584.0,nan,nan,nan,nan,nan,nan
greedy_unique,folded_without_strict,20,4,0.0,982584,0.09176255908769497,982584.0,452368.0,0.46038608403963427,0.00043709343861504126,9.726594277225622e-05,0.0003013220954866611,0.0003013220954866611
greedy_unique,folded_strict_single_hit_per_frame,20,4,0.0,814852,0.09176255908769497,814852.0,446966.0,0.548524149170647,0.0003716623596354995,0.00021925605079580997,0.00021220237246465058,0.00021925605079580997
greedy_unique,folded_without_strict,20,8,0.0,982584,0.09176255908769497,982584.0,447361.0,0.45529033650049255,0.0031044614136614577,0.00022576845098253983,0.00020970456759298445,0.0016269822090927196
greedy_unique,folded_strict_single_hit_per_frame,20,8,0.0,897641,0.09176255908769497,897641.0,446966.0,0.4979340293057024,0.0031029660631074077,0.00021925605079580997,0.00021220237246465058,0.0015860874794874661
greedy_unique,folded_without_strict,20,16,0.0,982584,0.09176255908769497,982584.0,446966.0,0.4548883352466558,0.005486830214012726,0.00021925605079580997,0.00021220237246465058,0.0019742785146826067
greedy_unique,folded_strict_single_hit_per_frame,20,16,0.0,939954,0.09176255908769497,939954.0,446966.0,0.4755190147602968,0.005486830214012726,0.00021925605079580997,0.00021220237246465058,0.0019742785146826067
greedy_unique,folded_without_strict,25,4,0.0,982584,0.09176255908769497,982584.0,523081.0,0.5323524502739715,0.0011259200125206782,0.0003230857171260283,0.0007626635870368153,0.0007626635870368152
greedy_unique,folded_strict_single_hit_per_frame,25,4,0.0,848333,0.09176255908769497,848333.0,520711.0,0.6138049563084308,0.0011411083706466985,0.00032071532961662036,0.0007743610239768224,0.0007743610239768224
greedy_unique,folded_without_strict,25,8,0.0,982584,0.09176255908769497,982584.0,520950.0,0.5301836789526392,0.0029395756481825353,0.0003148094826758806,0.0007625357494570486,0.0017905795663334728
greedy_unique,folded_strict_single_hit_per_frame,25,8,0.0,915138,0.09176255908769497,915138.0,520711.0,0.5689972441314862,0.002905829058431623,0.00032071532961662036,0.0007743610239768224,0.0017543960406429643
greedy_unique,folded_without_strict,25,16,0.0,982584,0.09176255908769497,982584.0,520711.0,0.5299404427509505,0.004520113195290054,0.00032071532961662036,0.0007743610239768224,0.0017543960406429646
greedy_unique,folded_strict_single_hit_per_frame,25,16,0.0,948623,0.09176255908769497,948623.0,520711.0,0.548912476294587,0.004520113195290054,0.00032071532961662036,0.0007743610239768224,0.0017543960406429646
greedy_unique,folded_without_strict,30,4,0.0,982584,0.09176255908769497,982584.0,579531.0,0.589803009208373,0.0015397897104991204,0.0003916960438699569,0.0010529782907960615,0.0010529782907960615
greedy_unique,folded_strict_single_hit_per_frame,30,4,0.0,869443,0.09176255908769497,869443.0,578257.0,0.6650890282629224,0.0016353209126306772,0.0003026336040895311,0.0011363730437147417,0.0011363730437147417
greedy_unique,folded_without_strict,30,8,0.0,982584,0.09176255908769497,982584.0,578257.0,0.5885064279491626,0.0038537493507188538,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
greedy_unique,folded_strict_single_hit_per_frame,30,8,0.0,925948,0.09176255908769497,925948.0,578257.0,0.6245026718563029,0.0038537493507188538,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
greedy_unique,folded_without_strict,30,16,0.0,982584,0.09176255908769497,982584.0,578257.0,0.5885064279491626,0.005736926872613133,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
greedy_unique,folded_strict_single_hit_per_frame,30,16,0.0,954168,0.09176255908769497,954168.0,578257.0,0.6060326902599962,0.005736926872613133,0.0003026336040895311,0.0011363730437147417,0.002393857737342376
greedy_unique,folded_without_strict,35,4,0.0,982584,0.09176255908769497,982584.0,627011.0,0.6381245776442523,0.0004336957035655096,0.00029824038174768865,0.00022264842014505214,0.00029824038174768865
greedy_unique,folded_strict_single_hit_per_frame,35,4,0.0,885752,0.09176255908769497,885752.0,626021.0,0.7067678085965372,0.00047815904266511165,0.0003210754910777753,0.0002505460028733062,0.0003210754910777753
greedy_unique,folded_without_strict,35,8,0.0,982584,0.09176255908769497,982584.0,626021.0,0.6371170301979271,0.003471666885381632,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
greedy_unique,folded_strict_single_hit_per_frame,35,8,0.0,933936,0.09176255908769497,933936.0,626021.0,0.6703039608709804,0.003471666885381632,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
greedy_unique,folded_without_strict,35,16,0.0,982584,0.09176255908769497,982584.0,626021.0,0.6371170301979271,0.004191608380861241,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
greedy_unique,folded_strict_single_hit_per_frame,35,16,0.0,958131,0.09176255908769497,958131.0,626021.0,0.653377252171154,0.004191608380861241,0.0003210754910777753,0.0002505460028733062,0.0019325537493546118
greedy_unique,folded_without_strict,40,4,0.0,982584,0.09176255908769497,982584.0,665596.0,0.6773934849336036,0.0023828400819923354,0.00036658874151887933,0.0016648632903245907,0.0016648632903245907
greedy_unique,folded_strict_single_hit_per_frame,40,4,0.0,897641,0.09176255908769497,897641.0,664717.0,0.7405154176335529,0.002340711892686935,0.0003505251106862018,0.001636469417884807,0.001636469417884807
greedy_unique,folded_without_strict,40,8,0.0,982584,0.09176255908769497,982584.0,664717.0,0.6764989049282301,0.003770115186031886,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
greedy_unique,folded_strict_single_hit_per_frame,40,8,0.0,939954,0.09176255908769497,939954.0,664717.0,0.7071803513788972,0.003770115186031886,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
greedy_unique,folded_without_strict,40,16,0.0,982584,0.09176255908769497,982584.0,664717.0,0.6764989049282301,0.005031548800989934,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
greedy_unique,folded_strict_single_hit_per_frame,40,16,0.0,961219,0.09176255908769497,961219.0,664717.0,0.691535435733168,0.005031548800989934,0.0003505251106862018,0.001636469417884807,0.0018499250388500311
greedy_unique,folded_without_strict,50,4,0.0,982584,0.09176255908769497,982584.0,722504.0,0.7353101617775173,0.0009850494736444618,0.0007335599526092589,0.00046487216600649085,0.0007335599526092589
greedy_unique,folded_strict_single_hit_per_frame,50,4,0.0,915138,0.09176255908769497,915138.0,722006.0,0.7889586051502615,0.0009678932414243345,0.0006980551408160043,0.000474097219552727,0.0006980551408160043
greedy_unique,folded_without_strict,50,8,0.0,982584,0.09176255908769497,982584.0,722006.0,0.7348033348802748,0.0023280818310000098,0.0006980551408160043,0.000474097219552727,0.0012936882589954207
greedy_unique,folded_strict_single_hit_per_frame,50,8,0.0,948623,0.09176255908769497,948623.0,722006.0,0.7611095240153359,0.0023280818310000098,0.0006980551408160043,0.000474097219552727,0.0012936882589954207
greedy_unique,folded_without_strict,50,16,0.0,982584,0.09176255908769497,982584.0,722006.0,0.7348033348802748,0.004314461728144452,0.0006980551408160043,0.000474097219552727,0.00196279396219609
greedy_unique,folded_strict_single_hit_per_frame,50,16,0.0,965541,0.09176255908769497,965541.0,722006.0,0.7477735280014003,0.004314461728144452,0.0006980551408160043,0.000474097219552727,0.00196279396219609
greedy_unique,folded_without_strict,60,4,0.0,982584,0.09176255908769497,982584.0,761405.0,0.774900670069938,0.0009416966689099526,0.0005161510628377802,0.00055694734785594,0.00055694734785594
greedy_unique,folded_strict_single_hit_per_frame,60,4,0.0,925948,0.09176255908769497,925948.0,761357.0,0.8222459576563694,0.0009395112044916466,0.0005214373808870215,0.000552623000416662,0.000552623000416662
greedy_unique,folded_without_strict,60,8,0.0,982584,0.09176255908769497,982584.0,761357.0,0.7748518192846616,0.003659009438174093,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
greedy_unique,folded_strict_single_hit_per_frame,60,8,0.0,954168,0.09176255908769497,954168.0,761357.0,0.7979276186164281,0.003659009438174093,0.0005214373808870215,0.000552623000416662,0.0022827483562957353
