layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
all_pairs,982584,0.09176255908769497,-0.14144490041262925,39.09953379696756,0.12999838454043983,425.77581790097366,100,0.5923486633005809,-0.014726736285638805,99.76561671245298
nearest,982584,0.09176255908769497,-0.14144490041262925,39.09953379696756,0.12999838454043983,425.77581790097366,100,0.5923486633005809,-0.014726736285638808,99.76561671245298
greedy_unique,982584,0.09176255908769497,-0.14144490041262925,39.09953379696756,0.12999838454043983,425.77581790097366,100,0.5923486633005809,-0.014726736285638808,99.76561671245298
