layer,period_ps,n_pairs,amplitude,phase_rad,phase_ps,chi2_reduced,cv
nearest,10,982584,0.0008309850309829753,-1.1679503121199328,8.141149345403907,1.980904318499883,0.0042595935439035375
nearest,11,982584,0.00028850670364896343,-1.6499444635024378,8.111435010871299,0.5249183784796008,0.0023113251517766203
nearest,12,982584,0.0006246940225397999,1.0723371144992004,2.04801302920137,0.7331281600351726,0.00286484710755998
nearest,13,982584,0.0016035571206905396,0.9035436647397349,1.8694447270550358,2.0005003813075186,0.004942823448509883
nearest,14,982584,0.0017067540320202712,1.017736606908528,2.2676893645709164,1.3908529409738468,0.004289705115197397
nearest,15,982584,0.0009439338846253497,0.9481172180398554,2.2634631282236897,1.3158325395080723,0.004329916136265502
nearest,16,982584,0.0006117192755054607,0.33954688900643065,0.8646490527495772,1.008577655108028,0.003923877644635724
nearest,17,982584,0.0008507058363095582,0.02039303675598146,0.055176094274275715,1.7243435421297313,0.005298916119336121
nearest,18,982584,0.000931618554563022,-0.5418930762537615,16.44759068916493,0.6955676533088503,0.003469039982799894
nearest,19,982584,0.0014755312942744834,-1.238912793112657,15.253597193410343,0.9052346782678234,0.00407222719587152
nearest,20,982584,0.0017711548389087422,-1.2217388637905673,16.11108441320511,2.0018314759322036,0.006221651964803275
nearest,21,982584,0.001975011711529056,-1.040881729718222,17.52110907836736,1.2168403922718058,0.004976763034279404
nearest,22,982584,0.00256681086903762,-0.8494732284658184,19.02564700663955,1.4595511620865178,0.005585145157764409
nearest,23,982584,0.0033442701148721026,-0.7953871313641238,20.088434746549492,1.8721611957487974,0.006474378961012113
nearest,24,982584,0.004677818468892484,-0.6995801795056569,21.327800552221422,2.9413440125397843,0.00829759025002657
nearest,25,982584,0.006364331016489849,-0.618815900530192,22.53780976416893,4.354631682041094,0.010313272450029668
nearest,26,982584,0.008368880578615668,-0.5458347886459695,23.741320077162325,7.144141081067879,0.013482181565236477
nearest,27,982584,0.010871870554134268,-0.47490442424425405,24.95924856140354,10.042251466932717,0.016301117435281568
nearest,28,982584,0.013829772434543435,-0.4204065573709555,26.126526112012645,15.064192645785667,0.020345575014469947
nearest,29,982584,0.017294140059240917,-0.37854883697546426,27.252810360416337,22.211165733849295,0.025158216378245574
nearest,30,982584,0.02143954453306537,-0.34077937587785373,28.372898334758055,32.315285916065925,0.03088290577240914
nearest,31,982584,0.026262818733595136,-0.30604241253964903,29.49004695470492,46.34980765003298,0.037618350750605795
nearest,32,982584,0.031600845581203074,-0.27608882765695597,30.59389114707037,64.1643235361245,0.04499277843338582
nearest,33,982584,0.037363829975420926,-0.2508816443168704,31.68234122380626,86.55277831208323,0.053092191443419874
nearest,34,982584,0.043608400106876805,-0.22911695038438823,32.760186763206256,114.43611575563652,0.06199457400906592
nearest,35,982584,0.05042318881952171,-0.2097652404378829,33.83151887834079,148.22847488327295,0.07161771073212271
nearest,36,982584,0.05781816880224665,-0.1924748629754188,34.897200268914965,188.69664499785407,0.08198440845808698
nearest,37,982584,0.0657211029943055,-0.177189780969161,35.95657670825535,237.11530730310193,0.09320650042837049
nearest,38,982584,0.074041657969761,-0.16378172035474053,37.00946652546305,292.0814044424727,0.10487403366168915
nearest,39,982584,0.08272548008413479,-0.15197531749746435,38.056682702700414,355.12013870409146,0.11719109309510972
nearest,40,982584,0.09176255908769497,-0.14144490041262925,39.09953379696756,425.77581790097366,0.12999838454043983
nearest,41,982584,0.10116176386559703,-0.13191834005123146,40.13918630795113,504.2027644455842,0.14326752650689628
nearest,42,982584,0.11092013283522814,-0.1232183299404135,41.17634613583911,590.9163186048215,0.15702546065150516
nearest,43,982584,0.12100660392709614,-0.11524741245081403,42.21128559908581,686.581544464101,0.17131124205060067
nearest,44,982584,0.13136392784629944,-0.10794997900002548,43.24404599836111,790.0333891330482,0.18593969186435114
nearest,45,982584,0.14192193080891888,-0.10127888078618173,44.2746434471429,901.0482232192226,0.20087019980523477
nearest,46,982584,0.15261279655234217,-0.09517808741050439,45.30318909807094,1018.4799056817984,0.2159720971143375
nearest,47,982584,0.1633818142734444,-0.08958017837070584,46.32991497503468,1141.9712154270073,0.2312180054121315
nearest,48,982584,0.17419130430451654,-0.08441231807338709,47.35513739139721,1270.9005143364063,0.24655843383945725
nearest,49,982584,0.18501872912791056,-0.07960458124898179,48.37919633267174,1403.8383710281598,0.26187517413040573
nearest,50,982584,0.1958515268139411,-0.0750967737039765,49.402398862737925,1540.9618745375587,0.2772101596319977
nearest,51,982584,0.2066812489035074,-0.07084218208071257,50.424980943664366,1682.216000708336,0.292577576320727
nearest,52,982584,0.21749881540659302,-0.0668082487799691,51.44709112230245,1826.6026470739898,0.30790893061676256
