layer,period_ps,n_pairs,amplitude,phase_rad,phase_ps,chi2_reduced,cv
all_pairs,10,982584,0.0008309850309829749,-1.1679503121199335,8.141149345403905,1.980904318499883,0.0042595935439035375
all_pairs,11,982584,0.00028850670364896343,-1.6499444635024338,8.111435010871306,0.5249183784796008,0.0023113251517766203
all_pairs,12,982584,0.0006246940225398002,1.0723371144991987,2.0480130292013667,0.7331281600351726,0.00286484710755998
all_pairs,13,982584,0.0016035571206905398,0.9035436647397344,1.8694447270550347,2.0005003813075186,0.004942823448509883
all_pairs,14,982584,0.0017067540320202714,1.0177366069085279,2.2676893645709155,1.3908529409738468,0.004289705115197397
all_pairs,15,982584,0.0009439338846253501,0.9481172180398544,2.2634631282236874,1.3158325395080723,0.004329916136265502
all_pairs,16,982584,0.0006117192755054612,0.33954688900643004,0.8646490527495756,1.008577655108028,0.003923877644635724
all_pairs,17,982584,0.0008507058363095588,0.020393036755981364,0.05517609427427545,1.7243435421297313,0.005298916119336121
all_pairs,18,982584,0.0009316185545630227,-0.5418930762537614,16.44759068916493,0.6955676533088503,0.003469039982799894
all_pairs,19,982584,0.001475531294274484,-1.2389127931126565,15.253597193410346,0.9052346782678234,0.00407222719587152
all_pairs,20,982584,0.0017711548389087422,-1.2217388637905675,16.11108441320511,2.0018314759322036,0.006221651964803275
all_pairs,21,982584,0.0019750117115290558,-1.0408817297182227,17.52110907836736,1.2168403922718058,0.004976763034279404
all_pairs,22,982584,0.0025668108690376193,-0.8494732284658187,19.02564700663955,1.4595511620865178,0.005585145157764409
all_pairs,23,982584,0.003344270114872101,-0.795387131364124,20.088434746549492,1.8721611957487974,0.006474378961012113
all_pairs,24,982584,0.004677818468892484,-0.6995801795056568,21.327800552221422,2.9413440125397843,0.00829759025002657
all_pairs,25,982584,0.006364331016489849,-0.618815900530192,22.53780976416893,4.354631682041094,0.010313272450029668
all_pairs,26,982584,0.008368880578615668,-0.5458347886459697,23.74132007716232,7.144141081067879,0.013482181565236477
all_pairs,27,982584,0.010871870554134267,-0.47490442424425405,24.95924856140354,10.042251466932717,0.016301117435281568
all_pairs,28,982584,0.013829772434543438,-0.42040655737095545,26.126526112012645,15.064192645785667,0.020345575014469947
all_pairs,29,982584,0.01729414005924092,-0.3785488369754642,27.252810360416337,22.211165733849295,0.025158216378245574
all_pairs,30,982584,0.021439544533065374,-0.3407793758778538,28.372898334758055,32.315285916065925,0.03088290577240914
all_pairs,31,982584,0.026262818733595136,-0.30604241253964914,29.49004695470492,46.34980765003298,0.037618350750605795
all_pairs,32,982584,0.031600845581203074,-0.27608882765695597,30.59389114707037,64.1643235361245,0.04499277843338582
all_pairs,33,982584,0.037363829975420926,-0.2508816443168704,31.68234122380626,86.55277831208323,0.053092191443419874
all_pairs,34,982584,0.04360840010687681,-0.22911695038438815,32.760186763206256,114.43611575563652,0.06199457400906592
all_pairs,35,982584,0.05042318881952171,-0.2097652404378829,33.83151887834079,148.22847488327295,0.07161771073212271
all_pairs,36,982584,0.05781816880224665,-0.19247486297541871,34.897200268914965,188.69664499785407,0.08198440845808698
all_pairs,37,982584,0.0657211029943055,-0.17718978096916096,35.95657670825535,237.11530730310193,0.09320650042837049
all_pairs,38,982584,0.074041657969761,-0.1637817203547405,37.00946652546305,292.0814044424727,0.10487403366168915
all_pairs,39,982584,0.0827254800841348,-0.15197531749746435,38.056682702700414,355.12013870409146,0.11719109309510972
all_pairs,40,982584,0.09176255908769497,-0.14144490041262925,39.09953379696756,425.77581790097366,0.12999838454043983
all_pairs,41,982584,0.10116176386559703,-0.13191834005123143,40.13918630795113,504.2027644455842,0.14326752650689628
all_pairs,42,982584,0.11092013283522814,-0.12321832994041351,41.17634613583911,590.9163186048215,0.15702546065150516
all_pairs,43,982584,0.12100660392709617,-0.11524741245081399,42.21128559908581,686.581544464101,0.17131124205060067
all_pairs,44,982584,0.1313639278462994,-0.10794997900002548,43.24404599836111,790.0333891330482,0.18593969186435114
