pairing_layer,folding_layer,bin_width_ps,dim,frame_origin_ps,n_pairs,A40,total_sum,diag_main_sum,diag_main_fraction,diag_uniformity_cv,diag_fft_k_dim2,diag_fft_k_dim4,diag_fft_max_nonzero
nearest,raw_paired_dt,0,0,0.0,154334,0.00810758871106942,154334.0,nan,nan,nan,nan,nan,nan
nearest,folded_without_strict,20,4,0.0,154334,0.00810758871106942,154334.0,49247.0,0.31909365402309275,0.009521214396539692,0.0040814668913842465,0.00608256325899735,0.00608256325899735
nearest,folded_strict_single_hit_per_frame,20,4,0.0,101218,0.00810758871106942,101218.0,42532.0,0.420201940366338,0.010006379979677026,0.004749365183861563,0.0062278074250897,0.006227807425089701
nearest,folded_without_strict,20,8,0.0,154334,0.00810758871106942,154334.0,45263.0,0.2932795106716602,0.010811610283522437,0.004838388971124318,0.004879575186745756,0.004879575186745756
nearest,folded_strict_single_hit_per_frame,20,8,0.0,117886,0.00810758871106942,117886.0,42532.0,0.3607892370595321,0.012784490325607368,0.004749365183861563,0.0062278074250897,0.006227807425089701
nearest,folded_without_strict,20,16,0.0,154334,0.00810758871106942,154334.0,43876.0,0.28429250845568704,0.019489280896423867,0.005515543805269396,0.005393165139725012,0.007751808690196348
nearest,folded_strict_single_hit_per_frame,20,16,0.0,127500,0.00810758871106942,127500.0,42532.0,0.3335843137254902,0.020829410199808003,0.004749365183861563,0.0062278074250897,0.008451357715921868
nearest,folded_without_strict,25,4,0.0,154334,0.00810758871106942,154334.0,57641.0,0.37348218798190935,0.00417507252178444,0.003105428427681685,0.0019732644073597863,0.003105428427681685
nearest,folded_strict_single_hit_per_frame,25,4,0.0,107604,0.00810758871106942,107604.0,51749.0,0.48092078361399204,0.005447701543608747,0.0038454849369069935,0.002728525032710762,0.0038454849369069935
nearest,folded_without_strict,25,8,0.0,154334,0.00810758871106942,154334.0,54344.0,0.3521194292897223,0.005635484982349764,0.0037906668629471515,0.0015616185418281412,0.0037906668629471515
nearest,folded_strict_single_hit_per_frame,25,8,0.0,121333,0.00810758871106942,121333.0,51749.0,0.42650391896681034,0.006989189421116972,0.0038454849369069935,0.002728525032710762,0.0038454849369069935
nearest,folded_without_strict,25,16,0.0,154334,0.00810758871106942,154334.0,52900.0,0.34276309821555845,0.019500445279825546,0.0034782608695652175,0.0024128566934758186,0.008462452173708085
nearest,folded_strict_single_hit_per_frame,25,16,0.0,129938,0.00810758871106942,129938.0,51749.0,0.39825916975788456,0.01902231144913091,0.0038454849369069935,0.002728525032710762,0.007856133317674163
nearest,folded_without_strict,30,4,0.0,154334,0.00810758871106942,154334.0,65643.0,0.4253307761089585,0.0054630745753824015,0.001203479426595372,0.0037680778313319966,0.003768077831331996
nearest,folded_strict_single_hit_per_frame,30,4,0.0,111890,0.00810758871106942,111890.0,59989.0,0.5361426400929484,0.00434370243852959,0.0019170181199886646,0.00275615605528089,0.00275615605528089
