replicate,shift_ps,layer,n_pairs,A40,phase40_rad,phase40_ps,cv40,chi2_40,best_period_ps,best_amplitude,best_phase_rad,best_phase_ps
0,682007946060,surrogate_shift,18330,0.008168336717293546,-2.78158144478972,22.291902537960805,0.04085392555524475,0.7844503196385357,85,0.022272244078005918,2.8161137669965663,38.09686623776453
1,-2392095695660,surrogate_shift,4884,0.017925602775276574,-0.5309380466223037,36.61994341618021,0.08614705187423233,0.9293769293769295,85,0.03445764852637151,2.7977111565256334,37.84791259187382
2,2028763453831,surrogate_shift,7802,0.005335780751350951,-1.5050983822013289,30.418246105321753,0.0633119088068308,0.8018851182142646,98,0.026765940333081845,0.2196681395047229,3.4262044837137164
3,-998441559561,surrogate_shift,15691,0.0038463497274816697,1.0909502126188408,6.94520476021771,0.0424697295882291,0.7256797543586149,93,0.022803695622791314,-3.0872927857164325,47.30371459145924
4,-1794925778230,surrogate_shift,9671,0.00793694275490064,1.6617565595851378,10.579070826934256,0.05572577063813439,0.7700500306228774,93,0.036131952888712224,2.8297543258790494,41.8843531490372
5,-2018267577029,surrogate_shift,7625,0.017577851207202403,-1.9373390001714865,27.666516867119906,0.07432433264419243,1.0800336275746112,48,0.029452626295831674,-2.7482618424245304,27.004826057630225
6,2825407778843,surrogate_shift,1405,0.022253326200991415,-0.08039834117455409,39.48816826342724,0.13641549330535552,0.6704078839310156,44,0.05331370901238183,2.291414600316567,16.046358253786142
7,-2846642631641,surrogate_shift,1208,0.047739097159745975,2.6977619367355663,17.174485900665218,0.18675614108878907,1.0803192392596368,94,0.08019725347859301,-2.828599383088968,51.682556058542275
8,-2001711809659,surrogate_shift,8092,0.006063651398683889,-1.959938895246672,27.522641466536943,0.06589615138095833,0.9009721535673092,18,0.029609665300474312,1.643377208517336,4.7079289098017
9,-1325518668315,surrogate_shift,13271,0.00911709488059758,-2.4179619820249587,24.60677593409805,0.058342272032994406,1.158259092024445,85,0.02676552820123522,2.3805060683476373,32.20389116621128
